============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  O(113. MeV) ==> Upper Be+He Gas+Lower Be( 8.03 mm) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  131  8 .9303684E+08   8030000E+01 -.9672E+05 -.9348E+06   .9999116  .0009583 -.0132592
T  132  8 .9285124E+08   8030000E+01  .6095E+05  .4743E+05   .9999890  .0015614  .0044289
T  133  8 .9311330E+08   8030000E+01 -.1178E+06 -.4116E+05   .9999972 -.0004028  .0023373
T  134  8 .9279330E+08   8030000E+01  .1759E+05 -.3042E+05   .9999954  .0000441 -.0030216
T  135  8 .9283204E+08   8030000E+01 -.1107E+06  .5346E+05   .9999351 -.0043944  .0105100
T  136  8 .9287569E+08   8030000E+01 -.1845E+05 -.5828E+05   .9999995 -.0009118 -.0004160
T  137  8 .9304290E+08   8030000E+01  .2497E+05  .1331E+06   .9999982 -.0000171  .0019130
T  138  8 .9306155E+08   8030000E+01  .1446E+06  .5788E+05   .9999943  .0021940  .0025478
T  139  8 .9308410E+08   8030000E+01  .2393E+06  .1009E+06   .9999793  .0010320  .0063500
T  140  8 .9278055E+08   8030000E+01  .3296E+06  .1019E+06   .9999931  .0031718  .0019272
T  141  8 .9274513E+08   8030000E+01 -.8291E+05  .2530E+06   .9999965  .0019845  .0017606
T  142  8 .9284060E+08   8030000E+01 -.1073E+06 -.7720E+05   .9999816 -.0056226 -.0022684
T  143  8 .9283593E+08   8030000E+01 -.5507E+06  .5407E+05   .9999778 -.0066270 -.0006811
T  144  8 .9289758E+08   8030000E+01 -.2000E+06 -.1170E+06   .9999833 -.0055990 -.0014185
T  145  8 .9303600E+08   8030000E+01 -.1363E+06  .6470E+06   .9999721 -.0026928  .0069717
T  146  8 .9310664E+08   8030000E+01 -.3330E+05 -.1257E+06   .9999963 -.0017468 -.0020914
T  147  8 .9272036E+08   8030000E+01 -.7764E+05 -.8385E+05   .9999768 -.0038972  .0055799
T  148  8 .9274502E+08   8030000E+01  .2912E+06 -.2784E+06   .9999729  .0070873 -.0019809
T  149  8 .9289411E+08   8030000E+01 -.4159E+05  .5637E+05   .9999941 -.0015267  .0030669
T  150  8 .9303857E+08   8030000E+01 -.8394E+04 -.4497E+05   .9999798 -.0063290  .0005427
T  151  8 .9304180E+08   8030000E+01 -.9324E+05 -.1910E+06   .9999980 -.0007839 -.0018590
T  152  8 .9269797E+08   8030000E+01  .1185E+06  .1223E+06   .9999865 -.0012992  .0050244
T  153  8 .9302999E+08   8030000E+01 -.1088E+07  .4310E+06   .9999088 -.0112774  .0074367
T  154  8 .9296287E+08   8030000E+01  .1172E+06  .1311E+06   .9999738  .0027885  .0066730
T  155  8 .9294246E+08   8030000E+01 -.3060E+05 -.2991E+06   .9999897 -.0028443 -.0035480
T  156  8 .9274595E+08   8030000E+01 -.1163E+07 -.8355E+06   .9997805 -.0185309 -.0097727
T  157  8 .9294992E+08   8030000E+01 -.4317E+06 -.3593E+05   .9999795 -.0064060 -.0001222
T  158  8 .9312092E+08   8030000E+01  .1562E+06  .1017E+06   .9999972  .0013149  .0019727
T  159  8 .9277454E+08   8030000E+01 -.1794E+06  .6502E+05   .9999998 -.0004694  .0003551
T  160  8 .9274927E+08   8030000E+01  .1986E+06  .5533E+04   .9999859  .0052306 -.0009295
T  161  8 .9305479E+08   8030000E+01  .2710E+06 -.1677E+06   .9999976 -.0021516 -.0004236
T  162  8 .9301898E+08   8030000E+01  .1882E+06 -.6428E+05   .9999840  .0029984 -.0047985
T  163  8 .9278820E+08   8030000E+01 -.1538E+04 -.6391E+05   .9999993 -.0011897  .0001288
T  164  8 .9295967E+08   8030000E+01 -.5866E+04 -.7958E+05   .9999696 -.0030805  .0071566
T  165  8 .9281541E+08   8030000E+01  .2807E+05 -.1275E+06   .9999917 -.0032441 -.0024692
T  166  8 .9274145E+08   8030000E+01  .1319E+03 -.4025E+06   .9999911  .0005041 -.0041986
T  167  8 .9310479E+08   8030000E+01  .1862E+06  .6681E+05   .9999988 -.0012126  .0009350
T  168  8 .9301377E+08   8030000E+01  .3542E+05  .1137E+06   .9999996  .0008213  .0003547
T  169  8 .9281112E+08   8030000E+01  .2028E+06  .2875E+05   .9999830  .0049182  .0031339
T  170  8 .9299118E+08   8030000E+01 -.1017E+06 -.1091E+06   .9999917 -.0031301 -.0025986
