============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  O(113. MeV) ==> Upper Be+He Gas+Lower Be( 8.02 mm) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  165  8 .9969205E+08   8020000E+01 -.1666E+05 -.1552E+05   .9999993 -.0005410  .0010792
T  166  8 .9971242E+08   8020000E+01 -.1453E+06  .7558E+05   .9999905 -.0042947 -.0007285
T  167  8 .9973985E+08   8020000E+01 -.1279E+06  .5238E+04   .9999974 -.0019608  .0011578
T  168  8 .9964096E+08   8020000E+01  .9644E+05  .5538E+05   .9999999  .0004161  .0003293
T  169  8 .9938106E+08   8020000E+01 -.1241E+06  .1373E+06   .9999982 -.0016627  .0008692
T  170  8 .9963774E+08   8020000E+01  .6089E+05 -.7856E+05   .9999916  .0039412  .0011652
T  171  8 .9977518E+08   8020000E+01 -.1018E+05  .1261E+06   .9999993 -.0005616  .0010763
T  172  8 .9972207E+08   8020000E+01 -.5239E+05 -.7139E+05   .9999931 -.0017138 -.0032939
T  173  8 .9959254E+08   8020000E+01  .1576E+05  .6670E+05   .9999978 -.0012022  .0016975
T  174  8 .9976627E+08   8020000E+01  .5532E+05 -.8209E+05   .9999972 -.0006836 -.0022838
T  175  8 .9967065E+08   8020000E+01  .4990E+05  .4089E+05   .9999993  .0011442  .0002151
T  176  8 .9968983E+08   8020000E+01 -.1072E+06  .5858E+05   .9999958 -.0028642  .0003207
T  177  8 .9962648E+08   8020000E+01  .6771E+04 -.1217E+06   .9999998 -.0003502  .0004799
T  178  8 .9959521E+08   8020000E+01 -.1134E+06  .1148E+06   .9999824 -.0005092  .0059124
T  179  8 .9966912E+08   8020000E+01  .1460E+06 -.4069E+05   .9999884  .0036102 -.0031971
T  180  8 .9960222E+08   8020000E+01  .6332E+05 -.2504E+06   .9999929  .0012061 -.0035609
T  181  8 .9980263E+08   8020000E+01 -.5504E+05  .8925E+05   .9999913 -.0012251  .0039785
T  182  8 .9967671E+08   8020000E+01 -.6114E+05 -.7128E+05   .9999973 -.0004249 -.0022848
T  183  8 .9951649E+08   8020000E+01  .2486E+05  .1273E+06   .9999956  .0002661  .0029609
T  184  8 .9991537E+08   8020000E+01 -.1276E+05  .8987E+05   .9999965  .0026431  .0000257
T  185  8 .9976088E+08   8020000E+01  .8309E+05  .2732E+05   .9999973 -.0010702 -.0020562
T  186  8 .9956798E+08   8020000E+01 -.2593E+05  .1462E+04   .9999999  .0003153  .0001873
T  187  8 .9971318E+08   8020000E+01 -.1076E+06 -.3127E+05   .9999996 -.0001468 -.0008467
T  188  8 .9978299E+08   8020000E+01  .3388E+05  .5193E+05   .9999985  .0010542  .0013388
T  189  8 .9950723E+08   8020000E+01 -.7983E+05 -.3157E+04   .9999908 -.0031458 -.0029062
T  190  8 .9965791E+08   8020000E+01 -.1367E+06  .1502E+06   .9999859 -.0026388  .0046140
T  191  8 .9998863E+08   8020000E+01  .6512E+05 -.1674E+05   .9999940  .0020831 -.0027851
T  192  8 .9966091E+08   8020000E+01 -.6295E+05  .1331E+06   .9999963 -.0010036  .0025097
T  193  8 .9971240E+08   8020000E+01 -.3464E+06 -.7248E+05   .9999850 -.0053517 -.0011224
T  194  8 .9954179E+08   8020000E+01  .4369E+05 -.5691E+05   .9999992 -.0003170 -.0012480
T  195  8 .9970353E+08   8020000E+01 -.1059E+06  .5461E+06   .9999794 -.0018839  .0061418
T  196  8 .9969067E+08   8020000E+01  .1586E+05  .1019E+06   .9999787  .0059418  .0027000
T  197  8 .9974674E+08   8020000E+01 -.4784E+05  .6287E+05   .9999986 -.0012606  .0010600
T  198  8 .9953148E+08   8020000E+01 -.7021E+05 -.1654E+05   .9999968 -.0022102  .0012025
T  199  8 .9962071E+08   8020000E+01  .7090E+05  .1496E+06   .9999947  .0011771  .0030195
T  200  8 .9977272E+08   8020000E+01  .1213E+05  .1092E+06   .9999976  .0014316  .0016839
T  201  8 .9993831E+08   8020000E+01 -.1718E+06 -.1309E+06   .9999996  .0003564 -.0007852
T  202  8 .9969560E+08   8020000E+01  .2669E+06 -.1364E+06   .9999865  .0051759 -.0005243
T  203  8 .9971960E+08   8020000E+01  .6724E+05  .1346E+06   .9999942  .0015239  .0030429
T  204  8 .9962204E+08   8020000E+01 -.1569E+06 -.6536E+05   .9999984 -.0012611 -.0012674
T  205  8 .9961993E+08   8020000E+01 -.1985E+05  .2706E+05   .9999996 -.0000925  .0008564
T  206  8 .9982148E+08   8020000E+01 -.5831E+04  .1545E+06   .9999985  .0015640 -.0007793
T  207  8 .9996074E+08   8020000E+01 -.8101E+04 -.1702E+06   .9999958  .0017196 -.0023494
T  208  8 .9981804E+08   8020000E+01 -.1264E+05  .2983E+05   .9999995 -.0007957 -.0006041
T  209  8 .9976776E+08   8020000E+01 -.3996E+05  .7552E+05   .9999990 -.0012708 -.0005704
T  210  8 .1000568E+09   8020000E+01 -.7792E+05  .2238E+05   .9999987 -.0014113  .0007603
T  211  8 .9982301E+08   8020000E+01 -.1536E+06 -.1990E+06   .9999995  .0006121 -.0007857
T  212  8 .9956990E+08   8020000E+01 -.1207E+05 -.5533E+05   .9999922  .0007453 -.0038745
T  213  8 .9980612E+08   8020000E+01  .5823E+06  .2308E+06   .9999722  .0069668  .0026541
T  214  8 .9954264E+08   8020000E+01  .5657E+05 -.1046E+06   .9999963 -.0010973 -.0024915
T  215  8 .9960689E+08   8020000E+01  .6363E+05 -.1256E+06   .9999931  .0024608 -.0027707
T  216  8 .9957523E+08   8020000E+01  .8848E+05  .7610E+05   .9999962  .0005825  .0026983
T  217  8 .9992516E+08   8020000E+01  .2581E+06 -.5307E+05   .9999918  .0038187 -.0013229
T  218  8 .9969133E+08   8020000E+01 -.1234E+06  .9493E+05   .9999996 -.0009185 -.0002224
T  219  8 .9959776E+08   8020000E+01  .2969E+06  .5760E+05   .9999785  .0061564  .0022696
T  220  8 .9960597E+08   8020000E+01  .3706E+05  .1758E+05   .9999991  .0012390  .0004451
T  221  8 .9984870E+08   8020000E+01  .9854E+05  .5536E+05   .9999963  .0002996  .0026966
T  222  8 .9973248E+08   8020000E+01 -.1204E+06  .1434E+06   .9999974 -.0021485  .0008158
T  223  8 .9988992E+08   8020000E+01 -.9281E+04 -.2866E+05   .9999987  .0015636  .0004871
T  224  8 .9965731E+08   8020000E+01  .4818E+05 -.1140E+04   .9999985 -.0017091 -.0002617
T  225  8 .9965766E+08   8020000E+01 -.6675E+05  .6298E+05   .9999975 -.0022525 -.0001235
T  226  8 .9945023E+08   8020000E+01  .1114E+05 -.1282E+06   .9999982  .0013355  .0013619
T  227  8 .9996115E+08   8020000E+01 -.1981E+06 -.8735E+05   .9999942 -.0023355 -.0024693
T  228  8 .9980273E+08   8020000E+01 -.1284E+06 -.1281E+06   .9999975 -.0004616 -.0022080
T  229  8 .9966638E+08   8020000E+01  .6939E+05 -.6966E+04   .9999974  .0013413  .0018700
T  230  8 .9983149E+08   8020000E+01  .9406E+04  .1334E+06   .9999993  .0011216 -.0002277
T  231  8 .9970446E+08   8020000E+01 -.3614E+05 -.2022E+05   .9999946 -.0019903  .0026233
T  232  8 .9967856E+08   8020000E+01 -.8614E+05  .1731E+06   .9999964  .0021371  .0016375
T  233  8 .9989850E+08   8020000E+01  .6351E+05 -.1846E+06   .9999930  .0019430 -.0031990
T  234  8 .9983384E+08   8020000E+01 -.3026E+06  .3112E+05   .9999877 -.0049084  .0007078
T  235  8 .9988936E+08   8020000E+01  .3585E+05 -.1065E+06   .9999934  .0009637 -.0035092
T  236  8 .9966400E+08   8020000E+01 -.2853E+06 -.3086E+06   .9999734 -.0065487 -.0031970
T  237  8 .9987052E+08   8020000E+01 -.2063E+06 -.9591E+05   .9999933 -.0032121 -.0017595
T  238  8 .9979432E+08   8020000E+01  .1175E+06  .6265E+05   .9999716  .0039411  .0064240
T  239  8 .9965533E+08   8020000E+01  .5832E+05  .1770E+06   .9999917  .0035809  .0019295
